Var,Country,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Generosity,Generosity,Generosity,Happiness score,Happiness score,Happiness score,Healthy life expectancy,Healthy life expectancy,Healthy life expectancy,Logged GDP per capita,Logged GDP per capita,Logged GDP per capita,Perceptions of corruption,Perceptions of corruption,Perceptions of corruption,Region,Social support,Social support,Social support
78,Libya,0.773157001,0.771,-0.278986156,-0.085054487,-0.087,2.287372564,5.488800049,5.41,-1.43565166,62.29999924,62.3,1.22E-06,9.789815903,9.622,-1.714188547,0.668779135,0.667,-0.266027289,Middle East and North Africa,0.825942934,0.827,0.127982934
79,Lithuania,0.747381449,0.773,3.427774537,-0.219725296,-0.203,-7.611911921,6.215499878,6.255,0.635509979,67.29407501,67.906,0.90932967,10.34362602,10.499,1.502122947,0.809583843,0.826,2.027727843,Central and Eastern Europe,0.926107109,0.935,0.96024433
80,Luxembourg,0.90563643,0.907,0.150564835,-0.004620588,-0.034,635.8370839,7.237500191,7.324,1.195161405,72.59999847,72.6,2.11E-06,11.45068073,11.647,1.714476848,0.367084295,0.386,5.152959486,Western Europe,0.906912208,0.908,0.119944576
81,Macedonia,0.738840938,,,-0.019877451,,,5.159800053,,,67.50442505,,,9.510591507,,,0.897490501,,,Central and Eastern Europe,0.820392311,,
82,Madagascar,0.557574093,0.552,-0.999704446,-0.011823639,-0.005,-57.71183474,4.165599823,4.208,1.017864865,59.10542679,59.305,0.337656322,7.281685829,7.396,1.569886063,0.817485631,0.803,-1.771973776,Sub-Saharan Africa,0.668195903,0.686,2.664502569
83,Malawi,0.803223193,0.78,-2.891250303,0.021433279,0.038,77.29438412,3.538000107,3.6,1.75239941,57.59288788,57.948,0.61659023,7.062226295,6.958,-1.475827744,0.731700778,0.729,-0.369109625,Sub-Saharan Africa,0.544007301,0.537,-1.288089514
84,Malaysia,0.894626856,0.895,0.041709457,0.114726797,0.125,8.954492994,5.384300232,5.384,-0.005576064,67.10215759,67.102,-0.000234851,10.26251888,10.238,-0.238916783,0.839302301,0.839,-0.036018131,Southeast Asia,0.816509426,0.817,0.060081854
85,Maldives,0.853962779,0.854,0.004358621,0.038085498,0.024,-36.9838882,5.197599888,5.198,0.007698015,70.59999847,70.6,2.17E-06,9.518632889,9.826,3.229109837,0.824211061,0.825,0.095720506,South Asia,0.91316092,0.913,-0.017622305
86,Mali,0.71156615,0.697,-2.047054936,-0.044366926,-0.036,-18.85847579,4.729300022,4.723,-0.133212568,51.72698212,51.969,0.467875507,7.629852295,7.744,1.496067035,0.839328408,0.827,-1.468841979,Sub-Saharan Africa,0.731468976,0.724,-1.021092657
87,Malta,0.924911439,0.927,0.225811998,0.214965805,0.133,-38.12969463,6.772799969,6.602,-2.521851668,72.19999695,72.2,4.22E-06,10.53383827,10.674,1.330585551,0.658547282,0.653,-0.842351362,Western Europe,0.93037951,0.931,0.066692139
88,Mauritania,0.551522553,0.561,1.718415131,-0.106008142,-0.106,-0.007680542,4.374599934,4.227,-3.37402131,57.01017761,57.161,0.264553447,8.233919144,8.542,3.741606526,0.746223509,0.731,-2.040073626,Sub-Saharan Africa,0.790819228,0.795,0.528663423
89,Mauritius,0.889534533,0.867,-2.533294905,-0.018318573,-0.054,194.7827868,6.101299763,6.049,-0.857190517,66.40434265,66.701,0.4467439,9.956786156,10.008,0.514361192,0.805343091,0.789,-2.029332738,Sub-Saharan Africa,0.910357833,0.905,-0.588541429
90,Mexico,0.858709276,0.862,0.383217474,-0.175266623,-0.147,-16.12778435,6.465000153,6.317,-2.289252119,68.29902649,68.597,0.436277829,9.797797203,9.859,0.624658745,0.806821585,0.799,-0.969431798,Latin America and Caribbean,0.838665426,0.831,-0.914002862
91,Moldova,0.721609175,0.822,13.91207713,-0.037741039,-0.079,109.3212113,5.607500076,5.766,2.826570162,65.01301575,65.699,1.055149099,8.776714325,9.454,7.716847671,0.913314283,0.918,0.513045409,Commonwealth of Independent States,0.843313575,0.857,1.622934269
92,Mongolia,0.693351328,0.708,2.112734397,0.098093867,0.116,18.25408004,5.456200123,5.677,4.046770133,62.30448532,62.5,0.313805144,9.412186623,9.4,-0.129477065,0.863511205,0.856,-0.869844532,East Asia,0.937142491,0.935,-0.228619556
93,Montenegro,0.649565637,0.708,8.995913526,-0.075600356,-0.034,-55.02666681,5.54610014,5.581,0.629268479,68.50534821,68.699,0.282681272,9.751860619,9.94,1.92926651,0.783121586,0.812,3.68760286,Central and Eastern Europe,0.855314612,0.858,0.313964939
94,Morocco,0.772072434,0.774,0.24966129,-0.240377247,-0.236,-1.82099057,5.094799995,4.918,-3.47020482,65.89624023,66.208,0.473107068,8.940313339,8.903,-0.417360528,0.815724611,0.801,-1.805095838,Middle East and North Africa,0.592628479,0.56,-5.505722414
95,Mozambique,0.864451885,0.882,2.029970124,0.032375868,0.061,88.41193694,4.623600006,4.794,3.685439782,54.20582199,54.706,0.922738539,7.069345951,7.158,1.254062959,0.683019102,0.684,0.143612089,Sub-Saharan Africa,0.723874032,0.744,2.780313578
96,Myanmar,0.895075202,0.876,-2.131128419,0.560663998,0.509,-9.214787856,4.308000088,4.426,2.739087966,58.96171188,59.302,0.577134057,8.680481911,8.541,-1.606845247,0.645124316,0.66,2.305863169,Southeast Asia,0.78440702,0.779,-0.689313056
97,Namibia,0.767520964,0.719,-6.32177703,-0.18530646,-0.149,-19.59265748,4.571100235,4.574,0.063436916,56.50148773,56.799,0.526556524,9.203141212,9.161,-0.457900308,0.851449788,0.847,-0.522613084,Sub-Saharan Africa,0.846880972,0.818,-3.410275228
